date,PRCP,SNOW,SNWD,TMAX,TMIN,attribute_PRCP,attribute_SNOW,attribute_SNWD,attribute_TMAX,attribute_TMIN
1893-09-16T00:00:00,,,,239.0,133.0,,,,",,6,",",,6,"
1893-09-17T00:00:00,,,,239.0,72.0,,,,",,6,",",,6,"
1893-09-18T00:00:00,,,,217.0,83.0,,,,",,6,",",,6,"
1893-09-19T00:00:00,,,,256.0,106.0,,,,",,6,",",,6,"
1893-09-20T00:00:00,,,,228.0,133.0,,,,",,6,",",,6,"
1893-09-21T00:00:00,,,,228.0,28.0,,,,",,6,",",,6,"
1893-09-22T00:00:00,,,,183.0,11.0,,,,",,6,",",,6,"
1893-09-23T00:00:00,,,,206.0,11.0,,,,",,6,",",,6,"
1893-09-24T00:00:00,,,,222.0,44.0,,,,",,6,",",,6,"
1893-09-25T00:00:00,,,,228.0,-11.0,,,,",,6,",",,6,"
1893-09-26T00:00:00,,,,256.0,56.0,,,,",,6,",",,6,"
1893-09-27T00:00:00,,,,278.0,106.0,,,,",,6,",",,6,"
1893-09-28T00:00:00,,,,200.0,89.0,,,,",,6,",",,6,"
1893-09-29T00:00:00,135.0,,,194.0,78.0,",,6,",,,",,6,",",,6,"
1893-09-30T00:00:00,94.0,,,144.0,11.0,",,6,",,,",,6,",",,6,"
1893-10-01T00:00:00,,,,144.0,33.0,,,,",,6,",",,6,"
1893-10-02T00:00:00,,,,161.0,56.0,,,,",,6,",",,6,"
1893-10-03T00:00:00,155.0,,,150.0,50.0,",,6,",,,",,6,",",,6,"
1893-10-04T00:00:00,28.0,,,150.0,39.0,",,6,",,,",,6,",",,6,"
1893-10-05T00:00:00,,,,122.0,39.0,,,,",,6,",",,6,"
1893-10-06T00:00:00,,,,200.0,39.0,,,,",,6,",",,6,"
1893-10-07T00:00:00,,,,200.0,39.0,,,,",,6,",",,6,"
1893-10-08T00:00:00,,,,250.0,117.0,,,,",,6,",",,6,"
1893-10-09T00:00:00,,,,222.0,106.0,,,,",,6,",",,6,"
1893-10-10T00:00:00,127.0,,,150.0,0.0,",,6,",,,",,6,",",,6,"
1893-10-11T00:00:00,,,,117.0,-17.0,,,,",,6,",",,6,"
